Analyse t_ptech;2025-07

Total lignes;10803

PT_CODEEXT invalides;5;0.05%
pt_nd_code invalides;10;0.09%
pt_prop invalides;5;0.05%
pt_gest invalides;10;0.09%
pt_user invalides;10;0.09%
pt_nature vides;13;0.12%
pt_ad_code invalides;10803;100.0%

Analyse unicité – pt_code
Total lignes;10803
Valeurs remplies;10803
Valeurs uniques;10799
Doublons (max 10);""""

