cm_code;Type;Attribut;Valeur N-1;Valeur N
590302;Modification;cm_long;17.9435100304;453.94
562481;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8282302;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590914;Modification;cm_long;30.141020087;1314.54
8283262;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590779;Modification;cm_long;44.2193979881;429.13
559159;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8319433;Modification;cm_long;34.7861884788;33.50533317
1317474;Modification;cm_long;11.0000615173;94.22
590353;Modification;cm_long;14.6957546863;36.63
590205;Modification;cm_long;5.1548391494;664.32
590234;Modification;cm_long;39.2436713212;48.82
1318753;Modification;cm_long;11.5311078965;570.24
8350455;Modification;cm_long;179.80748794;115.0832216
560568;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8277504;Modification;cm_long;48.203016101;34.47028172
564035;Modification;cm_long;139.463433899;258.68
591050;Modification;cm_long;25.5453376451;453.94
589622;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590207;Modification;cm_long;117.58350078;664.32
705339;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
563633;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590295;Modification;cm_long;483.95461903;864.45
590778;Modification;cm_long;15.4940461914;93.99
562891;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590299;Modification;cm_long;33.7387702097;2213.85
590906;Modification;cm_long;14.4498560475;78.2
591037;Modification;cm_long;47.0106410104;252.26
580976;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
559070;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590264;Modification;cm_long;16.3358847168;1017.08
590710;Modification;cm_long;78.0639646099;83.11
587992;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590411;Modification;cm_long;180.494185422;2201.55
8282620;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590415;Modification;cm_long;3.9474928518;6.96
567532;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591096;Modification;cm_long;173.01739774;2787.87
590780;Modification;cm_long;34.7224377485;429.13
563342;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
