Analyse position – 2025-01

Total de lignes;45423

Champ;Remplis;Taux (%)
ps_1;45423;100.0%
ps_2;45423;100.0%
ps_cs_code;24342;53.59%

📌 Valeurs PS non présentes dans t_fibre.fo_code
ps_1 manquants;1379945, 3070979, 386915, 4603223, 4607461, 4605038, 4594424, 4605461, 4604875, 4614926
ps_2 manquants;384981, 3079169, 3542515, 3542516, 3542517, 3542518, 3542514, 3542513, 4603516, 4608143

📌 Valeurs PS_CS_CODE non présentes dans t_cassette.cs_code
ps_cs_code manquants;1758434.0, 3878759.0, 1809008.0, 1809003.0, 2256658.0, 2004007.0, 2004006.0, 2023472.0, 1830932.0, 1742993.0
Nombre manquants ps_cs_code;533;1.17%
