Analyse de t_baie - 2024-03

Unicité des ba_code
Critère;Valeur
Unicité de ba_code (%);100.0
Duplicated ba_code (%);0.0

Ba Codes dupliqués
ba_code

Correspondance ba_lt_code avec t_ltech
Total Vérifié;Succès (%);Échec (%);Valeurs Manquantes
25;100.0;0.0;

Correspondance ba_rf_code avec t_reference
Total Vérifié;Succès (%);Échec (%);Valeurs Manquantes
25;80.0;20.0;RF183, RF184
