Analyse t_ptech;2024-03

Total lignes;8031

PT_CODEEXT invalides;4;0.05%
pt_nd_code invalides;8031;100.0%
pt_prop invalides;8;0.1%
pt_gest invalides;8;0.1%
pt_user invalides;8031;100.0%
pt_nature vides;32;0.4%
pt_ad_code invalides;8031;100.0%

Analyse unicité – pt_code
Total lignes;8031
Valeurs remplies;8031
Valeurs uniques;8028
Doublons (max 10);""""

