cb_capafo;Nombre_Total;Somme_Longueur;Proprietaire;Territoire;Hors_Territoire;INDT
2;2;3853.6745;2;1;1;0
6;1;16.9212;1;0;1;0
12;908;152766.5636;908;798;110;0
24;773;143018.4264;773;682;91;0
36;461;217324.8527;461;388;73;0
48;576;207267.5369;576;498;78;0
60;2;543.3184;2;2;0;0
72;732;397330.7503;732;622;110;0
96;6;3999.7787;6;5;1;0
120;1;1265.1234;1;1;0;0
144;986;550884.9816;986;808;178;0
288;40;17576.3226;40;36;4;0
