cm_code;Type;Attribut;Valeur N-1;Valeur N
590845;Modification;cm_long;3241.22;702.518997782
591047;Modification;cm_long;1017.08;31.0342777486
590818;Modification;cm_long;3241.22;656.801788186
564035;Modification;cm_long;258.68;139.463433899
590410;Modification;cm_long;2201.55;950.622992621
590861;Modification;cm_long;664.32;43.9691010449
590714;Modification;cm_long;1626.5;219.26212669
590812;Modification;cm_long;1017.08;6.1930410139
8407413;Modification;cm_long;56.19835781;64.6730086594
590218;Modification;cm_long;1626.5;324.771813405
563304;Modification;cm_long;1595.333458;1596.34981966
590266;Modification;cm_long;1017.08;17.9500998297
590850;Modification;cm_long;453.94;22.01264431
1324837;Modification;cm_long;2723.04;221.722805306
590691;Modification;cm_long;1286.04;340.09242533
8282302;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8484218;Modification;cm_long;14.3125194;44.3476110969
590813;Modification;cm_long;1017.08;42.8929009244
563672;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8283267;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590804;Modification;cm_long;664.32;16.922640262
590408;Modification;cm_long;2390.73;280.332166466
590898;Modification;cm_long;371.86;42.940337081
590689;Modification;cm_long;1286.04;475.598853071
8240383;Modification;cm_long;19.92581183;13.7096849443
8283269;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8240372;Modification;cm_long;111.1780611;105.019250101
591041;Modification;cm_long;664.32;3.3632067165
590422;Modification;cm_long;59.02;28.8763134676
590847;Modification;cm_long;167.9;22.0227009027
590194;Modification;cm_long;240.83;41.1642880791
590469;Modification;cm_long;1017.08;14.5303675081
8484234;Modification;cm_long;21.81543489;47.7665392642
590404;Modification;cm_long;2482.91;149.176345822
8282303;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590912;Modification;cm_long;1314.54;157.486537474
566948;Modification;cm_long;1594.830339;1595.85689961
590840;Modification;cm_long;371.86;7.2162055977
590780;Modification;cm_long;429.13;34.7224377485
590731;Modification;cm_long;193.91;51.5080853021
590217;Modification;cm_long;371.86;14.4187453546
590798;Modification;cm_long;252.26;22.1728398082
590486;Modification;cm_long;85.68;3.4285449129
563318;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
560571;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
561751;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
563282;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
607076;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590220;Modification;cm_long;137.75;71.0132866989
590918;Modification;cm_long;85.06;73.6908198576
590320;Modification;cm_long;498.15;25.1753721008
590244;Modification;cm_long;664.32;16.8545692345
590856;Modification;cm_long;2390.73;408.318691059
590906;Modification;cm_long;78.2;14.4498560475
590466;Modification;cm_long;371.86;31.2480858653
590327;Modification;cm_long;174.62;10.0695526912
590357;Modification;cm_long;1017.08;12.683726003
1324838;Modification;cm_long;292.11;7.0040518587
563342;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591112;Modification;cm_long;3241.22;980.637263483
590843;Modification;cm_long;3241.22;287.210640601
590733;Modification;cm_long;259.17;5.6674585062
590233;Modification;cm_long;48.82;9.5756473473
8283285;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
563314;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590300;Modification;cm_long;1017.08;18.380066656
590317;Modification;cm_long;252.41;15.5987411179
590269;Modification;cm_long;1017.08;6.2139416315
591062;Modification;cm_long;2482.91;170.25022343
590212;Modification;cm_long;372.56;89.277430788
590228;Modification;cm_long;252.26;6.9643251877
8283250;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590235;Modification;cm_long;303.42;293.100820246
