cb_capafo;Nombre_Total;Somme_Longueur;Proprietaire;Territoire;Hors_Territoire;INDT
2;2;3853.6745;2;1;1;0
6;2;30.646299999999997;2;1;1;0
12;1015;176270.6418;1015;904;111;0
24;806;148454.8973;806;715;91;0
36;462;217993.399;462;389;73;0
48;573;202169.46110000001;573;492;81;0
60;2;647.456;2;2;0;0
72;754;408318.83410000004;754;640;114;0
96;6;4012.1692000000003;6;5;1;0
120;1;1163.8094;1;1;0;0
144;981;554403.0601;981;804;177;0
288;42;20133.4033;42;38;4;0
