Analyse t_sitetech;2024-08

Total de lignes;117

Test;Manquants;%
st_nd_code;117;100.0%
st_prop;0;0.0%
st_gest;0;0.0%

Détail (max 10)
st_nd_code;297675, 297711, 306881, 3461263, 3461283, 3461288, 3461301, 3461302, 3461313, 3461335
st_prop;Aucun
st_gest;Aucun

Analyse d’unicité sur st_code
Total de lignes;117
Codes uniques;117;100.0%
Doublons;0;0.0%

