Analyse t_cheminement;2024-03

Test;Remplis/Total (%);Invalids/Total (%)
cm_ndcode1;4773/10026 (47.61%);4773/10026 (47.61%)
cm_ndcode2;4773/10026 (47.61%);4773/10026 (47.61%)
cm_gest_do invalides;;0/10026 (0.0%)
cm_prop_do invalides;;0/10026 (0.0%)
cm_codeext invalides;;0/10026 (0.0%)

Détail (max 10)
cm_ndcode1;1361284.0, 1338733.0, 1341814.0, 1337722.0, 1347365.0, 1346764.0, 1340033.0, 428161.0, 1347417.0, 1346446.0
cm_ndcode2;1361284.0, 1338732.0, 1341814.0, 1337722.0, 1347365.0, 1346764.0, 1340033.0, 1393287.0, 1345426.0, 1346446.0
cm_gest_do;Aucun
cm_prop_do;Aucun
cm_codeext;Aucun
