📌 Unicité des ps_code
Total ps_code;140193
Valeurs uniques;140193
ps_code en doublon;Occurrences

Analyse position – 2024-08

Total de lignes;140193

Champ;Remplis;Taux (%)
ps_1;133032;94.89%
ps_2;113804;81.18%
ps_cs_code;98163;70.02%

📌 Valeurs PS non présentes dans t_fibre.fo_code
ps_1 manquants;none
ps_2 manquants;none

📌 Valeurs PS_CS_CODE non présentes dans t_cassette.cs_code
ps_cs_code manquants;none, 1779758-1779730, 1779730-1779758, 1779757-1779729, 1779729-1779757, 1778705-1778705, 1778702-1778702, 1778703-1778703, 1778704-1778704, 1778706-1778706
Nombre manquants ps_cs_code;42563;30.36%
