Analyse des cb_* dans t_conduite;2024-03

Champ;Valeurs non trouvées
cd_prop;none
cd_gest;none
cd_user;none

Unicité des codes
Champ;Total;Taux unique (%);Doublons (max 10)
cd_code;17240;100.0%;Aucun
or_code;306;100.0%;Aucun
