Proprietaire;Nombre de fourreaux
DSP Irise;10466
Location;9850
Total;20316


Proprietaire;Nombre de tronçons;Longueur GC en m
Territoire;11370;978114.2779944553
Hors Territoire;1363;241637.5589106188
Total;12733;1219751.836905074
