Analyse t_tiroir;2025-01

Test;Manquants/Total;%
ti_ba_code;0/348;0.0%
ti_rf_code;0/348;0.0%
ti_prop;0/348;0.0%

Détail (max 10)
ti_ba_code;Aucun
ti_rf_code;Aucun
ti_prop;Aucun
