Analyse t_cheminement;2025-01

Test;Remplis/Total (%);Invalids/Total (%)
cm_ndcode1;9357/12738 (73.46%);9357/12738 (73.46%)
cm_ndcode2;7570/12738 (59.43%);7570/12738 (59.43%)
cm_gest_do invalides;;2856/12738 (22.42%)
cm_prop_do invalides;;2856/12738 (22.42%)
cm_codeext invalides;;0/12738 (0.0%)

Détail (max 10)
cm_ndcode1;1345423.0, 1339163.0, 1338911.0, 1337648.0, 1342604.0, 1346768.0, 1338085.0, 1743408.0, 1351997.0, 1339534.0
cm_ndcode2;1345431.0, 1339166.0, 1338742.0, 1348011.0, 2495036.0, 1937938.0, 1353146.0, 1344300.0, 1743408.0, 1351997.0
cm_gest_do;none
cm_prop_do;none
cm_codeext;Aucun
