Nature de chambre;Nombre de chambres DSP Irise;Nombre de chambres (location);Nombre total;Territoire;Hors Territoire;INDT
A1;0;2;2;2;0;0
A2;0;161;161;160;1;0
A2B;1;58;59;59;0;0
A2C;0;6;6;6;0;0
A2T;0;8;8;8;0;0
B1;0;3;3;3;0;0
B2;0;5;5;4;1;0
B3;0;2;2;2;0;0
C1;0;1;1;1;0;0
C2;1;3;4;4;0;0
D1;0;1;1;1;0;0
D3;0;7;7;7;0;0
D4;0;9;9;9;0;0
D4T;0;2;2;2;0;0
HC;2;41;43;26;17;0
INC;0;4;4;4;0;0
K1C;0;5;5;5;0;0
K2C;18;28;46;39;7;0
K3C;1;24;25;25;0;0
L0T;0;36;36;36;0;0
L1T;15;107;122;119;3;0
L2C;0;2;2;2;0;0
L2T;21;563;584;565;19;0
L3C;0;1;1;1;0;0
L3T;148;368;516;463;53;0
L4T;17;254;271;267;4;0
L5T;1;99;100;95;5;0
L6T;1;70;71;70;1;0
L7T;0;1;1;1;0;0
M1C;0;4;4;4;0;0
M2T;0;19;19;16;3;0
M3C;0;2;2;2;0;0
NC;0;14;14;14;0;0
OHN;1;1995;1996;1990;6;0
ONH;0;1;1;1;0;0
P1C;0;6;6;6;0;0
P1T;0;27;27;27;0;0
P2C;0;9;9;9;0;0
P2T;0;5;5;5;0;0
P3C;0;3;3;3;0;0
P3T;0;2;2;2;0;0
P4T;0;1;1;1;0;0
P5C;0;1;1;1;0;0
P5T;0;3;3;3;0;0
P6C;0;4;4;4;0;0
P6T;0;2;2;2;0;0
S1T;0;68;68;68;0;0
S3T;1;715;716;716;0;0
S4T;2;662;664;664;0;0
S5T;0;73;73;73;0;0
S6T;0;24;24;24;0;0
U2;0;1;1;1;0;0
U4T;0;61;61;61;0;0
U5T;0;128;128;128;0;0
U6T;0;55;55;55;0;0
U7T;0;16;16;16;0;0
V5T;0;19;19;19;0;0
V6T;0;26;26;26;0;0
V7T;0;15;15;15;0;0
Vide;1;11;12;8;1;0
XXX;2;0;2;2;0;0
