pt_code;Attribut;Valeur N-1;Valeur N;Type
1339606;;;;Ajout
1348891;;;;Ajout
1338289;;;;Ajout
1338983;;;;Ajout
1348125;;;;Ajout
1337373;;;;Ajout
1340179;;;;Ajout
1350254;;;;Ajout
1338075;;;;Ajout
1340519;;;;Ajout
1347262;;;;Ajout
1340894;;;;Ajout
1347194;;;;Ajout
1339953;;;;Ajout
1341897;;;;Ajout
1340743;;;;Ajout
1347936;;;;Ajout
1338238;;;;Ajout
1348132;;;;Ajout
1343049;;;;Ajout
1347546;;;;Ajout
1339428;;;;Ajout
1341807;;;;Ajout
1338979;;;;Ajout
1345311;;;;Ajout
1348091;;;;Ajout
1341439;;;;Ajout
1347995;;;;Ajout
1352104;;;;Ajout
1352791;;;;Ajout
1348002;;;;Ajout
1339488;;;;Ajout
1338080;;;;Ajout
1345419;;;;Ajout
1338403;;;;Ajout
1339472;;;;Ajout
1340625;;;;Ajout
1347658;;;;Ajout
1337260;;;;Ajout
1344925;;;;Ajout
1347541;;;;Ajout
1340151;;;;Ajout
1346486;;;;Ajout
1341823;;;;Ajout
1337358;;;;Ajout
1345011;;;;Ajout
1347775;;;;Ajout
1339650;;;;Ajout
1337508;;;;Ajout
1340714;;;;Ajout
1340615;;;;Ajout
1342564;;;;Ajout
1338622;;;;Ajout
1390084;;;;Ajout
1338170;;;;Ajout
1340078;;;;Ajout
1349599;;;;Ajout
1338769;;;;Ajout
1339620;;;;Ajout
1344307;;;;Ajout
1340091;;;;Ajout
1337930;;;;Ajout
1347907;;;;Ajout
1337657;;;;Ajout
1339382;;;;Ajout
1345403;;;;Ajout
1338074;;;;Ajout
1337334;;;;Ajout
1341173;;;;Ajout
1337924;;;;Ajout
1342006;;;;Ajout
1345966;;;;Ajout
7761336;;;;Ajout
1347335;;;;Ajout
1344919;;;;Ajout
1337565;;;;Ajout
1345325;;;;Ajout
1348750;;;;Ajout
1339065;;;;Ajout
1341764;;;;Ajout
1344914;;;;Ajout
1337648;;;;Ajout
1340925;;;;Ajout
1345292;;;;Ajout
1346752;;;;Ajout
1345362;;;;Ajout
1348621;;;;Ajout
1340035;;;;Ajout
1352227;;;;Ajout
1338724;;;;Ajout
1338402;;;;Ajout
1346580;;;;Ajout
1338969;;;;Ajout
1367042;;;;Ajout
1342642;;;;Ajout
1348976;;;;Ajout
1348146;;;;Ajout
1346453;;;;Ajout
1337383;;;;Ajout
1338065;;;;Ajout
1338752;;;;Ajout
1340553;;;;Ajout
1339486;;;;Ajout
1347538;;;;Ajout
1339708;;;;Ajout
1348662;;;;Ajout
1341217;;;;Ajout
1351472;;;;Ajout
1348694;;;;Ajout
1337898;;;;Ajout
1765761;;;;Ajout
1338306;;;;Ajout
1348517;;;;Ajout
1353462;;;;Ajout
1348627;;;;Ajout
1350381;;;;Ajout
1344765;;;;Ajout
1337413;;;;Ajout
1341200;;;;Ajout
1338182;;;;Ajout
1337627;;;;Ajout
1345986;;;;Ajout
1347528;;;;Ajout
1340719;;;;Ajout
1341202;;;;Ajout
1347928;;;;Ajout
2679346;;;;Ajout
1339554;;;;Ajout
1340168;;;;Ajout
1337308;;;;Ajout
1338081;;;;Ajout
1337538;;;;Ajout
1346794;;;;Ajout
1353347;;;;Ajout
1346798;;;;Ajout
1342567;;;;Ajout
1340112;;;;Ajout
1338340;;;;Ajout
1340321;;;;Ajout
1347782;;;;Ajout
1338179;;;;Ajout
1341911;;;;Ajout
1341149;;;;Ajout
1338768;;;;Ajout
1346625;;;;Ajout
1352123;;;;Ajout
1344369;;;;Ajout
1348137;;;;Ajout
1339160;;;;Ajout
1342007;;;;Ajout
1353083;;;;Ajout
1337328;;;;Ajout
1346564;;;;Ajout
1347973;;;;Ajout
1344314;;;;Ajout
1337981;;;;Ajout
1341183;;;;Ajout
1341171;;;;Ajout
1341147;;;;Ajout
1337994;;;;Ajout
1344311;;;;Ajout
1339689;;;;Ajout
1343832;;;;Ajout
1339314;;;;Ajout
1338108;;;;Ajout
1350255;;;;Ajout
1338326;;;;Ajout
1345935;;;;Ajout
1339647;;;;Ajout
1340036;;;;Ajout
1351506;;;;Ajout
1345413;;;;Ajout
1348383;;;;Ajout
1338936;;;;Ajout
