cb_code;Type;Attribut;Valeur N-1;Valeur N
4608361;Modification;cb_lgreel;191.6442;184.2742
4608362;Modification;cb_lgreel;74.5691;95.8038
4641143;Modification;cb_lgreel;475.7998;481.5015
4764097;Modification;cb_lgreel;582.0238;714.9523
8180225;Modification;cb_lgreel;345.4719;346.5273
10801714;Modification;cb_lgreel;57.8884;59.035
32141874;Modification;cb_lgreel;1447.41;1546.7036
16683607;Modification;cb_lgreel;707.811;728.9379
16683606;Modification;cb_lgreel;472.0426;451.4985
25134209;Modification;cb_lgreel;806.5917;799.5248
4608713;Modification;cb_lgreel;2.313;3.7107
4608717;Modification;cb_lgreel;346.7654;345.3931
4599062;Modification;cb_lgreel;346.9551;429.387
23368420;Modification;cb_lgreel;2032.992;2034.6334
18027237;Modification;cb_lgreel;1260.0404;1222.3777
18027236;Modification;cb_lgreel;822.8208;787.2721
17300839;Modification;cb_lgreel;641.7499;640.452
5485332;Modification;cb_lgreel;524.024;522.7647
4600609;Modification;cb_lgreel;589.1339;649.272
4600610;Modification;cb_lgreel;333.1285;342.4124
4600628;Modification;cb_lgreel;480.7362;566.2745
17888077;Modification;cb_lgreel;416.5263;419.1241
17888078;Modification;cb_lgreel;174.1742;170.7442
19592034;Modification;cb_lgreel;1454.1601;1455.2807
14979942;Modification;cb_lgreel;613.5781;594.4117
14979943;Modification;cb_lgreel;1522.8252;1607.0036
19633029;Modification;cb_lgreel;919.4503;923.3209
19633030;Modification;cb_lgreel;492.1813;457.5281
4617106;Modification;cb_lgreel;142.4394;119.8793
18568084;Modification;cb_lgreel;858.9411;879.1957
33887141;Modification;cb_lgreel;429.994;428.8839
17404849;Modification;cb_lgreel;996.5497;1128.4833
17404851;Modification;cb_lgreel;1204.309;1165.9152
17404853;Modification;cb_lgreel;1678.4728;1688.0145
17404854;Modification;cb_lgreel;589.5097;639.7659
15274938;Modification;cb_lgreel;1728.6801;1730.4267
34501568;Modification;cb_lgreel;1431.3374;1461.2932
34403298;Modification;cb_lgreel;505.335;581.4847
20288481;Modification;cb_lgreel;756.7721;780.1298
34403297;Modification;cb_lgreel;394.4987;472.3816
20288482;Modification;cb_lgreel;660.1841;663.1397
22606833;Modification;cb_lgreel;472.6994;471.6497
5935891;Modification;cb_lgreel;0.0054;11.631
23016448;Modification;cb_lgreel;1519.7327;1512.6266
16692233;Modification;cb_lgreel;1051.4109;1018.7797
16692234;Modification;cb_lgreel;719.3704;818.4249
16692235;Modification;cb_lgreel;609.7815;607.6668
42169378;Modification;cb_lgreel;82.9119;81.8948
20239427;Modification;cb_lgreel;172.1985;153.243
17863748;Modification;cb_lgreel;1296.3811;1404.8183
17863751;Modification;cb_lgreel;874.3823;869.0849
23245893;Modification;cb_lgreel;104.8385;106.0082
17863747;Modification;cb_lgreel;1654.2228;1855.0745
17208396;Modification;cb_lgreel;683.1439;660.8538
28922977;Modification;cb_lgreel;299.0826;300.8059
32158817;Modification;cb_lgreel;531.2725;541.7836
18379879;Modification;cb_lgreel;279.4414;276.3782
18379878;Modification;cb_lgreel;715.795;777.4524
