Analyse t_suf;2024-08

Test;Manquants/Total;%
sf_nd_code;0/1108;0.0%
sf_ad_code;0/1108;0.0%
sf_oper;0/1108;0.0%
sf_prop;0/1108;0.0%

Détail (max 10)
sf_nd_code;Aucun
sf_ad_code;Aucun
sf_oper;Aucun
sf_prop;Aucun

Unicité de sf_code;1108;100.0%
Doublons;0;0.0%
