Nature de chambre;Nombre de chambres DSP Irise;Nombre de chambres (location);Nombre total;Territoire;Hors Territoire;INDT
-;80;521;601;406;195;0
3TR;1;0;1;0;1;0
A1;0;2;2;2;0;0
A2;0;162;162;149;13;0
A2B;1;58;59;54;5;0
A2C;0;6;6;5;1;0
A2T;0;8;8;8;0;0
B1;0;3;3;3;0;0
B2;0;5;5;4;1;0
B3;0;2;2;2;0;0
C1;0;1;1;1;0;0
C2;0;3;3;3;0;0
CH0;0;4;4;0;4;0
CHA0;0;1;1;0;1;0
Chambre de;0;1;1;1;0;0
D1;0;1;1;1;0;0
D3;0;7;7;7;0;0
D3C;0;1;1;0;1;0
D4;0;9;9;9;0;0
D4T;0;2;2;2;0;0
HC;2;56;58;32;26;0
INC;0;4;4;4;0;0
INDETERMINE;4;0;4;3;1;0
J2C;20;80;100;95;5;0
J3C;0;4;4;4;0;0
K1C;19;65;84;77;7;0
K2C;114;264;378;310;68;0
K3C;18;36;54;54;0;0
L0T;15;35;50;50;0;0
L1T;315;247;562;496;66;0
L2C;0;2;2;2;0;0
L2T;238;1028;1266;1192;74;0
L3C;0;1;1;1;0;0
L3T;1705;946;2651;2097;554;0
L4T;33;399;432;394;38;0
L5T;3;137;140;124;16;0
L6T;2;74;76;71;5;0
L7T;0;1;1;1;0;0
M1C;5;41;46;42;4;0
M2T;0;19;19;7;12;0
M3C;0;6;6;6;0;0
MM1;0;15;15;15;0;0
NC;1;16;17;17;0;0
OHN;1;1988;1989;1925;64;0
ONH;0;1;1;1;0;0
P1C;0;8;8;8;0;0
P1T;0;27;27;27;0;0
P2C;0;13;13;10;3;0
P2T;0;5;5;5;0;0
P3C;0;3;3;2;1;0
P3T;0;2;2;2;0;0
P4T;0;1;1;1;0;0
P5C;0;1;1;1;0;0
P5T;0;3;3;3;0;0
P6C;0;4;4;4;0;0
P6T;0;3;3;2;1;0
REGARD;4;0;4;2;2;0
RGD 50x50;1;0;1;0;1;0
Regard 50x;3;0;3;0;3;0
S1T;0;68;68;68;0;0
S3T;1;715;716;716;0;0
S4T;2;665;667;667;0;0
S5T;0;73;73;73;0;0
S6T;0;24;24;24;0;0
U2;0;1;1;1;0;0
U4T;0;62;62;62;0;0
U5T;0;128;128;128;0;0
U6T;0;55;55;55;0;0
U7T;0;16;16;16;0;0
V5T;0;19;19;19;0;0
V6T;0;26;26;26;0;0
V7T;0;15;15;15;0;0
Vide;0;13;13;7;1;0
XXX;2;0;2;2;0;0
polylignes48-49;1;0;1;0;1;0
