Analyse de t_ebp;2024-03

Champ;Incohérences
bp_codeext;1343169.0, 1345494.0, , 1343162.0, 2495036.0, 1342604.0, 1342610.0, 1342648.0, 192520.0, 1338618.0, 1517441.0, 2032404.0, 192513.0, 193260.0, 1341182.0, 1341181.0, 1345293.0, 1348934.0, 1338620.0, 1337831.0, 1351416.0, 1339367.0, 1340241.0, 1337310.0, 1340110.0, 1341185.0, 179577.0, 1340237.0, 1340234.0, 1350260.0, 1344748.0, 1337309.0, 1511573.0, 1344745.0, 1352996.0, 2482875.0, 1340236.0, 1340060.0, 1346626.0, 1346604.0, 1340238.0, 189384.0, 1344891.0, 1346605.0, 1337925.0, 177305.0, 1344890.0, 150322.0, 1352917.0, 1337315.0, 1346758.0, 192745.0, 1346926.0, 1337314.0, 154027.0, 1337505.0, 1344893.0, 1345091.0, 1344897.0, 189817.0, 1344889.0, 167871.0, 1344270.0, 1346487.0, 1344885.0, 1344878.0, 1346479.0, 1344920.0, 1344881.0, 1352078.0, 190735.0, 1344788.0, 1345201.0, 7602237.0, 173589.0, 1344913.0, 152752.0, 159086.0, 1347320.0, 1341946.0, 1344262.0, 1345314.0, 1344874.0, 1344793.0, 1346485.0, 1342038.0, 1340167.0, 1353359.0, 1341814.0, 4050227.0, 1346723.0, 153111.0, 182074.0, 1344275.0, 1346278.0, 2495039.0, 1338616.0, 1337328.0, 1337327.0, 1342000.0, 1346597.0, 1342010.0, 1342001.0, 1346804.0, 1342012.0, 1345918.0, 1346815.0, 1345922.0, 1345924.0, 1342004.0, 1345920.0, 1347886.0, 1347318.0, 1339671.0, 1346446.0, 1343049.0, 1342005.0, 7600645.0, 166056.0, 1345935.0, 1340035.0, 1340609.0, 1338343.0, 1347893.0, 1347669.0, 1351719.0, 1344786.0, 1340678.0, 1347785.0, 1338161.0, 1338734.0, 1340673.0, 3124156.0, 7699511.0, 182768.0, 1339680.0, 1344784.0, 1348488.0, 1340674.0, 1338157.0, 182476.0, 1476830.0, 1346757.0, 1346603.0, 1346634.0, 6135352.0, 1340772.0, 1340650.0, 1348571.0, 158130.0, 1340090.0, 7604800.0, 1347431.0, 1339075.0, 1351797.0, 1347352.0, 1346756.0, 1346598.0, 1347888.0, 1346061.0, 1346060.0, 1340773.0, 1342043.0, 165519.0, 1351720.0, 1340037.0, 1352918.0, 1346596.0, 1345903.0, 7559025.0, 1340675.0, 1340797.0, 1353275.0, 1339454.0, 1347663.0, 1340680.0, 1339455.0, 1347317.0, 1353115.0, 1472684.0, 1345907.0, 1338327.0, 1338187.0, 1339334.0, 1345911.0, 1340324.0, 175176.0, 1339698.0, 1339331.0, 1345451.0, 1339981.0, 1339330.0, 1350380.0, 7719999.0, 3121937.0, 1345454.0, 7542708.0, 1345324.0, 1345449.0, 1345915.0, 1346791.0, 1346690.0, 1346794.0, 1342014.0, 1351502.0, 1338728.0, 184798.0, 1345319.0, 1472685.0, 1338265.0, 6155831.0, 1353110.0, 1345464.0, 1345463.0, 1338264.0, 1352241.0, 1345323.0, 1353104.0, 1333355.0, 1340717.0, 1350374.0, 156096.0, 1345196.0, 1352028.0, 1763522.0, 1340798.0, 1338322.0, 1340711.0, 1338325.0, 1347465.0, 1450244.0, 1348242.0, 1338975.0, 1338479.0, 1337952.0, 1352090.0, 1337349.0, 1346764.0, 1340742.0, 1339385.0, 1348003.0, 178177.0, 1392987.0, 1338482.0, 1347329.0, 1338476.0, 1338483.0, 1338489.0, 1338484.0, 174629.0, 152012.0, 7672625.0, 1337839.0, 7672318.0, 1337838.0, 1348567.0, 1348945.0, 1338010.0, 1369929.0, 1337359.0, 7618872.0, 1353139.0, 1337366.0, 1807029.0, 1338635.0, 1353500.0, 1341699.0, 1338634.0, 1352101.0, 1338894.0, 1344304.0, 1338895.0, 1338896.0, 1344370.0, 167636.0, 1343829.0, 167697.0, 1341732.0, 2417586.0, 2417590.0, 1338612.0, 1343710.0, 1351519.0, 1345199.0, 1342580.0, 1337581.0, 1346809.0, 1338008.0, 1348520.0, 192576.0, 1337451.0, 184932.0, 1346793.0, 1337592.0, 1337587.0, 1337599.0, 1342579.0, 1340741.0, 1345326.0, 1348095.0, 1352100.0, 1339388.0, 1338488.0, 1348703.0, 1338487.0, 1339511.0, 1337455.0, 1344375.0, 1344312.0, 1348880.0, 1346681.0, 1347529.0, 1340932.0, 1337890.0, 1337360.0, 1344311.0, 1339803.0, 1343702.0, 1338252.0, 7672640.0, 1337846.0, 7511354.0, 1338168.0, 1339308.0, 1344308.0, 1339307.0, 1348140.0, 1339309.0, 1342572.0, 1339428.0, 1337889.0, 7533105.0, 1338615.0, 1338085.0, 1342589.0, 1341065.0, 1337966.0, 1346680.0, 1338253.0, 1338645.0, 1340630.0, 1339305.0, 192704.0, 1347409.0, 1338148.0, 1347530.0, 1337637.0, 1338900.0, 160875.0, 1337894.0, 1339991.0, 1338126.0, 1337979.0, 1347936.0, 1338646.0, 1339500.0, 1344376.0, 1339426.0, 1347338.0, 1338287.0, 1343830.0, 1338269.0, 1344374.0, 1344369.0, 167238.0, 1348761.0, 1352222.0, 1338288.0, 1351860.0, 1348752.0, 1340516.0, 185540.0, 1348754.0, 1339604.0, 1352403.0, 1338037.0, 1340082.0, 155659.0, 1340594.0, 1339606.0, 1338290.0, 1338045.0, 1340547.0, 1339495.0, 1347963.0, 1339477.0, 1338799.0, 180704.0, 2481585.0, 1340570.0, 1338036.0, 1337822.0, 1333327.0, 1341053.0, 1346945.0, 1348057.0, 1337847.0, 1347774.0, 1340933.0, 1346832.0, 1342559.0, 1346768.0, 1340925.0, 1339037.0, 1341084.0, 1348990.0, 1338935.0, 1339282.0, 1339011.0, 168412.0, 180711.0, 1339013.0, 1340527.0, 150021.0, 1340900.0, 1809906.0, 1339044.0, 1370564.0, 1341824.0, 171482.0, 1337921.0, 1339014.0, 1340901.0, 7652944.0, 1339953.0, 1346420.0, 1338032.0, 167609.0, 1346560.0, 1339056.0, 1337899.0, 1339063.0, 1352122.0, 1339057.0, 1352001.0, 177149.0, 1340592.0, 1339046.0, 1339051.0, 1346533.0, 1339062.0, 1338029.0, 1347424.0, 1338031.0, 1392961.0, 1338433.0, 1339015.0, 1348736.0, 1341900.0, 1346676.0, 1340598.0, 1340589.0, 1339288.0, 1348130.0, 1392978.0, 1348701.0, 1341899.0, 1353640.0, 1337256.0, 1352014.0, 1341765.0, 7572178.0, 1352221.0, 1345978.0, 1341285.0, 1339440.0, 1339952.0, 167060.0, 1345962.0, 1349796.0, 1345382.0, 1353393.0, 172441.0, 1337388.0, 192831.0, 1339289.0, 1345968.0, 1345969.0, 1351716.0, 1339169.0, 156552.0, 178990.0, 1339175.0, 1340659.0, 175246.0, 1352123.0, 1339191.0, 1346844.0, 7731213.0, 1368645.0, 174623.0, 173698.0, 1347998.0, 1342033.0, 1353501.0, 181977.0, 173513.0, 1338830.0, 1348129.0, 2587193.0, 1348103.0, 1389144.0, 192827.0, 193279.0, 1337730.0, 1348700.0, 7519675.0, 1337652.0, 1338280.0, 1338834.0, 1337413.0, 1338828.0, 1347280.0, 1738561.0, 1337706.0, 186278.0, 1337685.0, 7730880.0, 1338276.0, 1345422.0, 1338304.0, 5793595.0, 1348025.0, 3137701.0, 1338436.0, 1348492.0, 155696.0, 1346841.0, 1345255.0, 1346735.0, 541137.0, 1345258.0, 1347417.0, 1338303.0, 1339157.0, 1352103.0, 1341441.0, 1341439.0, 1337410.0, 1337654.0, 1345420.0, 1338302.0, 1337655.0, 180913.0, 189495.0, 181824.0, 174481.0, 1341222.0, 1338299.0, 1339161.0, 1339160.0, 3124151.0, 1348532.0, 1338833.0, 1348111.0, 175435.0, 1341440.0, 153671.0, 1886742.0, 1339490.0, 1339257.0, 171481.0, 149072.0, 175725.0, 180799.0, 1338035.0, 1338873.0, 167641.0, 1339641.0, 1340521.0, 1339255.0, 1337914.0, 180942.0, 169224.0, 1337913.0, 171121.0, 1351371.0, 1338795.0, 1348090.0, 1340639.0, 154250.0, 171120.0, 192738.0, 1348987.0, 193385.0, 180601.0, 1340895.0, 154484.0, 1348730.0, 1337918.0, 1339493.0, 1348033.0, 1344814.0, 1348988.0, 1339612.0, 1339643.0, 1351796.0, 1339520.0, 1392967.0, 173366.0, 6156149.0, 1337911.0, 7593510.0, 194769.0, 1338934.0, 1337920.0, 1348289.0, 1337764.0, 1338922.0, 1339040.0, 1351476.0, 1338268.0, 1337377.0, 1348106.0, 1340600.0, 1339043.0, 1337765.0, 1342701.0, 1343122.0, 1347537.0, 1352539.0, 1340912.0, 2514227.0, 1343715.0, 1339926.0, 7568323.0, 168546.0, 180691.0, 1348384.0, 1339939.0, 1339928.0, 1343712.0, 1346848.0, 174580.0, 1339941.0, 1339557.0, 1346938.0, 1338606.0, 1338996.0, 174336.0, 1341088.0, 174194.0, 161117.0, 176739.0, 1343151.0, 182353.0, 1340920.0, 1340760.0, 181147.0, 1340818.0, 1352997.0, 1339546.0, 1346728.0, 1339314.0, 174333.0, 1338948.0, 166894.0, 1339581.0, 1341150.0, 1348148.0, 1476803.0, 3069750.0, 1341148.0, 1340152.0, 1352246.0, 1353083.0, 191857.0, 1348367.0, 1338594.0, 1341730.0, 1341154.0, 1340669.0, 7570866.0, 1349550.0, 1337708.0, 1339162.0, 153672.0, 1338247.0, 1346843.0, 173013.0, 1622402.0, 1340438.0, 1622401.0, 1338424.0, 2514226.0, 152927.0, 1341919.0, 1344816.0, 1341935.0, 1340903.0, 1341442.0, 1347928.0, 1343714.0, 1764163.0, 1347126.0, 1348382.0, 168301.0, 1351498.0, 1337514.0, 1337369.0, 1337367.0, 1341090.0, 7750393.0, 1337487.0, 1339251.0, 1345839.0, 1341731.0, 131521.0, 196481.0, 1348293.0, 1341819.0, 1339925.0, 1346063.0, 7540792.0, 1339018.0, 233601.0, 1352018.0, 2477749.0, 2477748.0, 267521.0, 7749751.0, 1343175.0, 292482.0, 1347254.0, 1346895.0, 2480947.0, 1350373.0, 2032401.0, 335041.0, 335042.0, 1391365.0, 1391366.0, 337601.0, 342401.0, 1339256.0, 7654799.0, 1341898.0, 1347162.0, 366081.0, 366401.0, 1360967.0, 1360961.0, 384322.0, 2195842.0, 1344763.0, 493121.0, 403521.0, 1361285.0, 1337694.0, 428161.0, 1393288.0, 428163.0, 433281.0, 433282.0, 1399681.0, 1370567.0, 443201.0, 1342614.0, 1336785.0, 1334779.0, 1368644.0, 462403.0, 469441.0, 469442.0, 469443.0, 473601.0, 1367043.0, 1367041.0, 476801.0, 476802.0, 476803.0, 476804.0, 476805.0, 476806.0, 1346021.0, 484802.0, 7620494.0, 1456009.0, 491201.0, 1368003.0, 1338332.0, 521923.0, 521924.0, 7522229.0, 1339049.0, 1338473.0, 2496319.0, 1519361.0, 2772145.0, 1360649.0, 1360647.0, 550098.0, 1360645.0, 1360643.0, 1360642.0, 550103.0, 1367047.0, 1367050.0, 1340524.0, 573122.0, 573121.0, 587522.0, 587523.0, 587524.0, 587525.0, 587526.0, 615681.0, 615682.0, 607361.0, 1352540.0, 638721.0, 640961.0, 640962.0, 647361.0, 647363.0, 647364.0, 647365.0, 649281.0, 1339923.0, 652482.0, 1397445.0, 1397444.0, 1350241.0, 2496636.0, 684804.0, 690241.0, 1338827.0, 1337892.0, 740497.0, 740498.0, 755203.0, 190173.0, 759682.0, 2478392.0, 1338429.0, 792961.0, 1353356.0, 1764485.0, 1764482.0, 1346031.0, 1536003.0, 1065921.0, 1065922.0, 1065923.0, 1065924.0, 1065925.0, 1065926.0, 1067521.0, 1339028.0, 1081284.0, 1341407.0, 7605106.0, 1129921.0, 1145921.0, 1341451.0, 1473282.0, 1200321.0, 1339354.0, 1347964.0, 1345912.0, 1340048.0, 1340046.0, 1937938.0, 1353398.0, 1347793.0, 1360964.0, 2495988.0, 2772146.0, 1389149.0, 1338006.0, 2495037.0, 1393287.0, 1347395.0, 1373765.0, 1339146.0, 2646713.0, 2646712.0, 1346868.0, 1342562.0, 1348557.0, 2417588.0, 7619849.0, 1352013.0, 1340497.0, 7643190.0, 7690236.0, 7690240.0, 7687038.0, 7689277.0, 7642232.0, 7620495.0, 7645438.0, 7646405.0, 1352413.0, 7683521.0, 7646393.0, 7683831.0, 7748466.0, 7519691.0, 7645118.0, 7519671.0, 7516799.0, 7522252.0, 7635186.0, 7654717.0, 7654747.0, 7654749.0, 7654750.0, 7654755.0, 7654797.0, 7672307.0, 7672312.0, 7659505.0, 7553639.0, 7553635.0, 7553658.0, 1348892.0, 7714608.0, 7714590.0, 7714554.0, 7695994.0, 7696001.0, 7649280.0, 7649268.0, 7651523.0, 7651557.0, 7761914.0, 7554232.0, 7763220.0, 7763223.0, 1352232.0, 1339016.0, 7761587.0, 7761279.0, 7761317.0, 7566438.0, 7566431.0, 7566419.0, 7530603.0, 7530545.0, 7672644.0, 7672316.0, 7559029.0, 7672635.0, 7542717.0, 7542742.0, 7543027.0, 3121936.0, 1347454.0, 1343827.0, 7568650.0, 7594921.0, 7594884.0, 7594938.0, 7594889.0, 7630108.0, 7630101.0, 7630065.0, 7630112.0, 7630149.0, 7597113.0, 7596172.0, 7607402.0, 7607468.0, 7607436.0, 7607410.0, 7603544.0, 7570877.0, 7570870.0, 7568344.0, 7568327.0, 7565760.0, 7679355.0, 7600677.0, 7603529.0, 7600641.0, 7651584.0, 7651543.0, 7721270.0, 7699515.0, 7731185.0, 7731198.0, 7731204.0, 7771194.0, 7690264.0, 7692466.0, 7609944.0, 7609906.0, 7610232.0, 7609956.0, 7609588.0, 7716152.0, 7718076.0, 7716155.0, 7718713.0, 7749440.0, 7750386.0, 7694065.0, 7731524.0, 7750396.0, 7638090.0, 7638088.0, 7638082.0, 7626555.0, 7632308.0, 7637427.0, 7630203.0, 7615026.0, 7616015.0, 7572177.0, 7572156.0, 7604791.0, 7604798.0, 7605113.0, 7694079.0, 7694389.0, 7750390.0, 7776993.0, 7776997.0, 7731518.0, 7731522.0, 7679351.0, 7615028.0, 1352109.0, 7772471.0, 1338270.0, 7615032.0, 7620490.0, 1338425.0, 7620491.0, 7618875.0, 7604792.0, 7635209.0, 7643825.0, 1337901.0, 7615992.0, 7619829.0, 7619853.0, 7616003.0, 7568643.0, 1343711.0, 7692481.0, 1338052.0, 7511346.0, 7609585.0, 1338678.0, 1348696.0, 1337372.0, 1342561.0, 7630202.0, 7651549.0, 7651530.0, 7749438.0, 1347415.0, 7553624.0, 1338485.0, 1339683.0, 6186225.0, 6187185.0, 1338402.0, 1337562.0, 7616311.0, 1339020.0, 1337939.0, 7630107.0, 7566391.0, 7714597.0, 7714575.0, 7553630.0, 7568626.0, 7731521.0, 7654719.0, 1345450.0, 7616012.0, 1340085.0, 7630088.0, 7533108.0, 7615038.0, 7559030.0, 7654720.0, 1345466.0, 7600637.0, 7630085.0, 1339368.0, 1339234.0, 7620493.0, 7549760.0, 7514245.0, 7597118.0, 7632306.0, 7596168.0, 7540795.0, 7630102.0, 7772479.0, 7514241.0, 3148468.0, 1338731.0, 1345424.0, 1340906.0, 7761328.0, 7654785.0, 7761274.0, 7761265.0, 7761602.0, 1809905.0, 7761344.0, 1348291.0
bp_pt_code;Aucune
Taux de remplissage bp_pt_code;0.0%
bp_prop;Aucune
bp_gest;Aucune
bp_user;CST
bp_rf_code;Aucune
