Analyse t_tiroir;2024-03

Test;Manquants/Total;%
ti_ba_code;0/348;0.0%
ti_rf_code;1/348;0.29%
ti_prop;0/348;0.0%

Détail (max 10)
ti_ba_code;Aucun
ti_rf_code;none
ti_prop;Aucun

ti_code (unicité);348/348;100.0%
