Analyse t_ptech – 2024-08

Total lignes;6076

pt_codeext invalides;3;0.05%
pt_nd_code manquants;6073;99.95%
pt_prop manquants;6;0.1%
pt_gest manquants;6;0.1%
pt_user manquants;6076;100.0%

pt_nature remplis;6064;99.8%

pt_ad_code manquants;6076;100.0%
