bp_code;Type
IRS - 65 RUE LAFERRIERE - BPE 1;Ajout
MGP RUE_BARBES (MONTROUGE) - BPE 1;Ajout
IRS - FT 806 - 13 AVENUE JEAN MOULIN (STAINS) - BPE 1;Ajout
IRS - FT-268 - 126 RUE DE STALINGRAD (DRANCY));Ajout
IRS - 55 RUE GABRIEL PERI (ASNIERES) - BPE 1;Ajout
IRS - RUE DE FRANCE - BPE 1;Ajout
IRS - FT 1764 - PT1 RUE ARISTIDE BRIAND (OSNY);Ajout
IRS - BI 5 AVENUE BERNARD HIRSCH (CERGY);Ajout
BI POP FTTS PONTOISE (S PREFECTURE);Ajout
IRS - RUE LUDOVIC HALEVY (SUCY EN BRIE);Ajout
XCO INTEROUTE BARBES MONTROUGE - BPE 1;Ajout
IRS - BI ECLUSE (D10) - BPE 1;Ajout
IRS - RUE MAUREPAS (THIAIS) - BPE 1;Ajout
PRC IRS BD NATIONAL RESIDENCE IDF - BPE 1;Ajout
IRS - FT 685 - N-1 POP CMP PONTOISE - BPE 1;Ajout
IRS- 19 BD JEAN JAURES SAINT OUEN - BPE 1;Ajout
IRS - FT_436 - RUE LE CORBUSIER(RUNGIS) - BPE 1;Ajout
IRS - 55 AV JEAN JAURES (N-1 DISPENSAIRE) CLAMART - BPE 1;Ajout
IRS - BOURGELAT - BPE 1;Ajout
IRISE - FT121 - 1 PLACE DES ONZE ARPENTS (VILLEJUIF) - BPE1;Ajout
IRS - FT 101 - 26 AVENUE DU PONT ROYAL - BPE 1;Ajout
IRS - 99 AV HENRI GINOUX MONTROUGE - BPE 1;Ajout
IRS - FT1048 - 39 RUE JEAN JAURES VILLEJUIF - BPE 1;Ajout
IRS N-1 OPH AVENUE GALLIENI (BONDY) - BPE1;Ajout
IRS - AV DE LA BELLE HEAUMIERE (CERGY) - BPE 1;Ajout
IRS - COURS LUZARD (NOISIEL) - BPE 1;Ajout
IRS - N-1 POP DGME LOGNES - BPE 1;Ajout
IRS - L3T IRISE ROND POINT DE CEDRE (CERGY) - BPE 1;Ajout
IRS - VERDUN-CLAVIZIS (BONNEUIL SUR MARNE) - BPE 1;Ajout
IRS - PK 17 842 (GARE DE RUNGIS LA FRATERNELLE) - BPE 1;Ajout
IRS ANGLE PASTEUR/MESLY - BPE 1;Ajout
IRS - FT 1349 - ANGLE AVENUE DES TOURELLES - AVENUE DU GENERAL JOUBERT - BPE 1;Ajout
IRS - 122  RUE DU MARECHAL LECLERC - BPE 1;Ajout
BI MAIRIE VILLEJUIF SS SOL - BPE 1;Ajout
IRS - PLACE VERDUN - BPE 1;Ajout
IRS - 110  AV DU GENERAL LECLERC - BPE 1;Ajout
IRS - BD CARNOT (ST DENIS) - BPE 1;Ajout
IRISE - RUE DE ROMAIN VILLE - BPE 1;Ajout
IRS -  BI PAPRIKA - BPE 1;Ajout
IRS - AV JULES RIMET (SAINT DENIS) - BPE 1;Ajout
IRS - FT530 - N-1 POLICE MUNICIPALE - BPE 1;Ajout
IRS - BI 50/64 AVENUE FRANCOIS ARAGO (NANTERRE);Ajout
IRS - FT 776 RUE DE BEAUVINON (JOUY EN JOSAS) - BPE 1;Ajout
TELCITE CACHAN - BPE 1;Ajout
IRS-DOCTEUR ROUX-LUGO (VITRY) - BPE 1;Ajout
IRS - RUE LEO LAGRANGE - BPE1;Ajout
FT - CHEMIN DU SPLENDID  PANORAMA (CHENNEVIERE SUR MARNE) - BPE1;Ajout
IRS - AVEN-BEGUINES - BPE 1;Ajout
IRS - 116 RUE ETIENNE DOLET - BPE 1;Ajout
IRS -49 RUE DHALENNE - BPE 1;Ajout
IRS - 243 AV.JEAN JAURES (BOBIGNY) - BPE 1;Ajout
IRS - BD MELIES/PASTEUR (MELIES 2) - BPE 1;Ajout
IRS - RUE PASTEUR (OSNY) - BPE1;Ajout
IRS - 77 AV DE LA RESISTANCE - BPE 1;Ajout
FT 10 - 98 AVENUE DE CHOISY ZA LES FLANDRES (VILLENEUVE-SAINT-GEORGES) - BPE 1;Ajout
IRS - FT3107 - 1 PLACE JEAN JAURES (MONTREUIL) BPE 1;Ajout
IRS - BD PRESSENCE  - EX METROMEDIA (AUBERVILLIERS) - BPE2;Ajout
IRS - 15 AV DU PRESIDENT SALVADOR ALLENDE (VITRY SUR SEINE) - BPE 1;Ajout
IRS - FT 748 - 232 AVENUE ARISTIDE BRIAND (LES-PAVILLONS-SOUS-BOIS) - BPE 1;Ajout
IRS - FT 991 - 20 RUE BERNARD GANTE (VILLEMOMBLE) - BPE 1;Ajout
IRS - BI MONTJOIE (D34) - BPE 1;Ajout
IRS ANGLE RUE B.VILAINS/RUE DELAVAQUERIE (MONTREUIL) - BPE 1;Ajout
IRS - RUE DU 4EME ZOUAVE - BPE 1;Ajout
IRS - 19 RUE DES ROSIERS - BPE 1;Ajout
IRS - AUTOCOM (MONTROUGE) - BPE 1;Ajout
IRS - PARC DES ANCIENNES MAIRIES (NANTERRE) - BPE 1;Ajout
BI POP THOMSON VIDEO NETWORKS CERGY PONTOISE;Ajout
IRS - FT 1245 - ROUTE PRINCIPALE DU PORT (GENNEVILLIERS) - BPE 1;Ajout
IRS -  ADD 1 - POP IGR - BPE 1;Ajout
IRS - FT869 - BD DESGRANGES (SCEAUX)- BPE 1;Ajout
IRS - FT538 - CH SAT SECURISEE CAM13 - BPE 1;Ajout
IRS - FT 232 - 33 RUE EDMOND GILETTE (DRANCY) - BPE 1;Ajout
IRS -  BPE 1 ESSEN SILIC (RUNGIS) - IRISE - BPE 1;Ajout
IRS-RUE DE LA MONTJOIE - BPE 1;Ajout
IRISE - CHAMBRE 7 DEVANT MSP (ST-DENIS) - BPE 1;Ajout
IRS - RUE DE TOULOUSE ( AULNAY SOUS BOIS) - BPE 1;Ajout
IRS - 7 AVENUE DU VAL DE FONTENAY - BPE 1;Ajout
N-1 BATIMENT PLAINE COMMUNE - BPE 1;Ajout
IRS - FINOT-POULBOT B601 (ST DENIS) - BPE 1;Ajout
IRS - FT 481 - PLACE CHARLES PASQUA x RUE VICTOR VERNADAT  (PLESSIS-ROBINSON) - BPE 1;Ajout
IRS -  AV DE VERRIERES (MASSY) - BPE 1;Ajout
NEW PAVE BLANC (CLAMART) - BPE IRISE;Ajout
IRS - BI  ECOLE BARBARA HENRI BARBUSSE FRESNES;Ajout
IRS - FT 3 - 1  RUE ETIENNE DOLET (MONTREUIL) - BPE 1;Ajout
IRS - RONDENAY_CHOISY (Vitry) - BPE 1;Ajout
IRS - FT2074 - 14 AV DU PRESIDENT SALVADOR ALLENDE (MONTREUIL) - BPE 1;Ajout
IRS - FT77 - 65 AVENUE MARECHAL DE LATTRE DE TASSIGNY (VILLIERS SUR MARNE) - BPE1;Ajout
IRS - RUE DES ABONDANCES - BPE 1;Ajout
IRS - BI GS_P M_CURIE (D36) - BPE 1;Ajout
IRS - JAURES / MANOUCHIAN IRISE - BPE 1;Ajout
IRS - N-2 POP NAMCO BANDAI (CERGY) - BPE1;Ajout
IRS - 65 ROUTE DE LA LIBERATION (CHENNEVIERE SUR MARNE) - BPE1;Ajout
AV DU GENERAL DE GAULLE(LE PERREUX) - BPE 1;Ajout
IRS - FT1109 - 30 AVENUE DU DRAPEAU (COLOMBES) - BPE 1;Ajout
4 RUE DE CHAMPIGNY (CHENNEVRIERES) - BPE 1;Ajout
IRS - 4 RUE DE PARIS ROMAINVILLE (N-1 MAIRIE DE ROMAINVILLE) - BPE 1;Ajout
IRS - BI NOGENT SUR MARNE (MAIRIE) - BPE 1;Ajout
IRS - FT 1382 - 29 RUE DU MARECHAL LYAUTEY (VILLENEUVE-LE-ROI) - BPE1;Ajout
IRS - FT  7 - 36 QUAI BLANQUI (ALFORTVILLE) - BPE 1;Ajout
IRS - 24 AV DES GRESILLONS - BPE 1;Ajout
IRS - 101 AV PV COUTURIER - BPE 1;Ajout
IRS - FT 761 - 43 RUE DES BLEUETS (CRETEIL) - BPE 1;Ajout
IRS - FT1051 - RUE DES CLOS FRAN?çAIS (MONTREUIL) - BPE 1;Ajout
IRS - 17 RUE ALBERT THOMAS ?? - BPE 1;Ajout
IRS - ANGLE BD HAUTIL_BD DE L'HAUTIL - BPE 1;Ajout
IRS - FT 15 - 18 AV. DE L EPI D OR (VILLEJUIF) - BPE 1;Ajout
IRS - IMM_TIERS/IMM_THALES  - BPE 1;Ajout
IRS - BD DE LA MARNE - BPE 1;Ajout
IRS - 16 RUE SEVERINE (LE KREMLIN-BICETRE) - BPE 1;Ajout
IRS - ANGLE RUE DES NOYERS - Av P.ROOSEVELT(AUBERVILLIERS);Ajout
PRC IRS - FT 302 - 56 RUE DE CHEVILLY (VILLEJUIF);Ajout
IRS - N-3 POP NAMCO BANDAI (CERGY) - BPE1;Ajout
IRS - JAURES - PORT - BPE 1;Ajout
IRS - BI - POP ECOLE R BOIVIN (PIERREFITTE SUR SEINE) - BPE 1;Ajout
RUE MONTESQUIEU (NANTERRE) - BPE 1;Ajout
IRS - PK 85 690 VILLENEUVE LE ROI - ??? - BPE 1;Ajout
IRS - FT 2587 - 118 AV DU PRESIDENT SALVADOR ALLENDE (MONTREUIL) - BPE 1;Ajout
BI POP VEOLIA WATER DE GAULLE (ANTONY) - BPE 1;Ajout
IRS - 160 AVENUE HENRI BARBUSSE - BPE 1;Ajout
IRS - FT 347 - 22 RUE DE CHEVILLY (VILLEJUIF);Ajout
IRS - FT 528 - 2 RUE DE LYON (ALFORTVILLE) - BPE 1;Ajout
IRS - BI CHAUFFERIE_LA_SAUSSAIE (A05) - BPE 1;Ajout
IRS - ANGLE RUE DES SEAUX_AVENUE DE LA RESISTANCE;Ajout
IRS -RUE ACHILLE DOMART (AUBERVILLIERS) - BPE 1;Ajout
IRS - 302 AV VAILLANT COUTURIER (BOBIGNY) - BPE 1;Ajout
IRS - GARAGE CITROEN (VINCENNES) - BPE 1;Ajout
IRS - BI CHAUFFERIE_VAL_AUX_RENARDS (D82) - BPE 1;Ajout
IRS - 14 RUE CHARLES DE GAULLE (DRANCY);Ajout
IRS - 10 RUE DU VERGER (ORLY) - BPE 1;Ajout
