Analyse t_ltech;2024-08

Total de lignes;377

Champ;Manquants;Pourcentage
lt_st_code;5;1.33%
lt_prop;0;0.0%
lt_gest;0;0.0%
lt_user;377;100.0%

📌 Unicité des lt_code
Total lt_code;377
Valeurs uniques;377
lt_code en doublon;Occurrences
