Analyse des cb_* dans t_conduite;2024-08

Champ;Valeurs non trouvées
cd_prop;Aucune
cd_gest;Aucune
cd_user;Aucune

Unicité des codes
Champ;Total;Taux unique (%);Doublons (max 10)
cd_code;20316;99.99%;9429186, 9457336
or_code;307;99.67%;OR318
