Analyse t_ptech – 2024-03

Total lignes;8031

pt_codeext invalides;4;0.05%
pt_nd_code manquants;8031;100.0%
pt_prop manquants;8;0.1%
pt_gest manquants;8;0.1%
pt_user manquants;8031;100.0%

pt_nature remplis;7999;99.6%

pt_ad_code manquants;8031;100.0%
