Analyse t_suf;2024-08

Test;Manquants/Total;%
sf_nd_code;1108/1108;100.0%
sf_ad_code;0/1108;0.0%
sf_oper;0/1108;0.0%
sf_prop;0/1108;0.0%

Détail (max 10)
sf_nd_code;3461304, 3461354, 3461362, 3461417, 3461479, 3461484, 3461504, 3461523, 3461628, 3461647
sf_ad_code;Aucun
sf_oper;Aucun
sf_prop;Aucun
