Proprietaire;Nombre de fourreaux
DSP Irise;10629
Location;6611
Total;17240


Proprietaire;Nombre de tronçons;Longueur GC en m
Territoire;8548;953929.477575697
Hors Territoire;1478;377912.08022197196
Total;10026;1331841.557797669
